
 MIDACO 6.0    (www.midaco-solver.com)
 -------------------------------------

 LICENSE-KEY:  MIDACO_LIMITED_VERSION___[CREATIVE_COMMONS_BY-NC-ND_LICENSE]

 ----------------------------------------
 | OBJECTIVES    2 | PARALLEL         1 |
 |--------------------------------------|
 | N             4 | MAXEVAL    1000000 |
 | NI            0 | MAXTIME     172800 |
 | M             0 | PRINTEVAL     1000 |
 | ME            0 | SAVE2FILE        1 |
 |--------------------------------------|
 | PARAM(10)  0.1000000E+04 PARETOMAX   |
 | PARAM(12)  0.1000000E+01 BALANCE     |
 ----------------------------------------


 [     EVAL,    TIME]   MULTI-OBJECTIVE PROGRESS   VIOLATION OF G(X)
 -------------------------------------------------------------------   [PARETO]
 [    74000, 1244.74]   PRO:          0.26590103   VIO:     0.000000   [    23]
 [    75000, 1261.49]   PRO:          0.26590103   VIO:     0.000000   [    23]
 [    76000, 1278.23]   PRO:          0.26590103   VIO:     0.000000   [    23]
 [    77000, 1294.96]   PRO:          0.26590103   VIO:     0.000000   [    23]
 [    78000, 1312.26]   PRO:          0.26590103   VIO:     0.000000   [    27]
 [    79000, 1329.18]   PRO:          0.26590103   VIO:     0.000000   [    28]
 [    80000, 1345.91]   PRO:          0.26590103   VIO:     0.000000   [    28]
 [    81000, 1362.68]   PRO:          0.26590103   VIO:     0.000000   [    28]
 [    82000, 1379.44]   PRO:          0.26590103   VIO:     0.000000   [    28]
 [    83000, 1396.48]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [    84000, 1413.88]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [    85000, 1430.66]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [    86000, 1447.49]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [    87000, 1464.31]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [    88000, 1481.50]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [    89000, 1499.28]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [    90000, 1516.15]   PRO:          0.26590103   VIO:     0.000000   [    36]
 [    91000, 1532.99]   PRO:          0.26590103   VIO:     0.000000   [    36]
 [    92000, 1549.82]   PRO:          0.26590103   VIO:     0.000000   [    36]
 [    93000, 1566.67]   PRO:          0.26590103   VIO:     0.000000   [    36]
 [    94000, 1583.67]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [    95000, 1601.57]   PRO:          0.26590103   VIO:     0.000000   [    33]
 [    96000, 1618.53]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [    97000, 1635.43]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [    98000, 1652.25]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [    99000, 1669.06]   PRO:          0.26590103   VIO:     0.000000   [    35]
 [   100000, 1686.40]   PRO:          0.26590103   VIO:     0.000000   [    36]
 [   101000, 1703.78]   PRO:          0.26590103   VIO:     0.000000   [    36]
 [   102000, 1720.61]   PRO:          0.26590103   VIO:     0.000000   [    36]
 [   103000, 1737.94]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   104000, 1754.77]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   105000, 1771.61]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   106000, 1788.45]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   107000, 1805.29]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   108000, 1822.15]   PRO:          0.26590103   VIO:     0.000000   [    30]
 [   109000, 1838.96]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   110000, 1855.80]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   111000, 1872.66]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   112000, 1889.48]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   113000, 1906.30]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   114000, 1923.13]   PRO:          0.26590103   VIO:     0.000000   [    32]
 [   115000, 1940.00]   PRO:          0.26590103   VIO:     0.000000   [    32]
